,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
423,mean_compactness:q00-20  worst_fractal_dimension:q00-20,52,-0.16132271983335814,0.4376952834399643,0.4376952834399643,,q00-20,,,,,,,,,,,,,q00-20,,,,,
424,mean_compactness:q00-20  worst_fractal_dimension:q40-60,20,-0.26958105646630237,0.5393442622950819,0.5393442622950819,,q00-20,,,,,,,,,,,,,q40-60,,,,,
425,mean_compactness:q80-100  worst_perimeter:q80-100,56,-0.44583681425786686,-0.8008563074352548,-0.8008563074352548,,q80-100,,,,,,,,,,,,,,q80-100,,,,
426,mean_compactness:q80-100  worst_perimeter:q60-80,36,0.3429226599958307,-0.6472795497185742,-0.6472795497185742,,q80-100,,,,,,,,,,,,,,q60-80,,,,
427,mean_compactness:q20-40  worst_perimeter:q40-60,30,-0.14860853432282004,0.46759431045145333,0.46759431045145333,,q20-40,,,,,,,,,,,,,,q40-60,,,,
428,mean_compactness:q20-40  worst_perimeter:q00-20,29,-0.3674329501915709,0.5472541507024266,0.5472541507024266,,q20-40,,,,,,,,,,,,,,q00-20,,,,
429,mean_compactness:q20-40  worst_perimeter:q20-40,35,-0.24558587479935795,0.530390583199572,0.530390583199572,,q20-40,,,,,,,,,,,,,,q20-40,,,,
430,mean_compactness:q60-80  worst_perimeter:q80-100,38,-0.3864109426107642,-0.7722767370403409,-0.7722767370403409,,q60-80,,,,,,,,,,,,,,q80-100,,,,
431,mean_compactness:q60-80  worst_perimeter:q60-80,32,0.4512337057728119,-0.5754189944134078,-0.5754189944134078,,q60-80,,,,,,,,,,,,,,q60-80,,,,
432,mean_compactness:q40-60  worst_perimeter:q40-60,27,0.2056853901872352,0.4074757414240809,0.4074757414240809,,q40-60,,,,,,,,,,,,,,q40-60,,,,
433,mean_compactness:q40-60  worst_perimeter:q60-80,23,0.5778786430960344,-0.5274725274725275,-0.5274725274725275,,q40-60,,,,,,,,,,,,,,q60-80,,,,
434,mean_compactness:q40-60  worst_perimeter:q00-20,21,-0.23140424052832811,0.5363225582203685,0.5363225582203685,,q40-60,,,,,,,,,,,,,,q00-20,,,,
435,mean_compactness:q40-60  worst_perimeter:q20-40,25,-0.2788970588235294,0.5275735294117647,0.5275735294117647,,q40-60,,,,,,,,,,,,,,q20-40,,,,
436,mean_compactness:q00-20  worst_perimeter:q40-60,26,0.24946876328091797,0.43483496245927183,0.43483496245927183,,q00-20,,,,,,,,,,,,,,q40-60,,,,
437,mean_compactness:q00-20  worst_perimeter:q00-20,44,-0.3106060606060606,0.602034632034632,0.602034632034632,,q00-20,,,,,,,,,,,,,,q00-20,,,,
438,mean_compactness:q00-20  worst_perimeter:q20-40,40,-0.23312854442344044,0.5330812854442344,0.5330812854442344,,q00-20,,,,,,,,,,,,,,q20-40,,,,
439,mean_compactness:q80-100  worst_radius:q80-100,54,-0.4467817331895002,-0.7970154620640058,-0.7970154620640058,,q80-100,,,,,,,,,,,,,,,q80-100,,,
440,mean_compactness:q80-100  worst_radius:q60-80,34,0.33468938977460144,-0.6448598130841121,-0.6448598130841121,,q80-100,,,,,,,,,,,,,,,q60-80,,,
441,mean_compactness:q20-40  worst_radius:q40-60,31,-0.15229643842187313,0.4696006715433505,0.4696006715433505,,q20-40,,,,,,,,,,,,,,,q40-60,,,
442,mean_compactness:q20-40  worst_radius:q60-80,20,0.6203096539162113,-0.46265938069216755,-0.46265938069216755,,q20-40,,,,,,,,,,,,,,,q60-80,,,
443,mean_compactness:q20-40  worst_radius:q00-20,29,-0.3674329501915709,0.5472541507024266,0.5472541507024266,,q20-40,,,,,,,,,,,,,,,q00-20,,,
444,mean_compactness:q20-40  worst_radius:q20-40,31,-0.30962945197265856,0.5488667705959948,0.5488667705959948,,q20-40,,,,,,,,,,,,,,,q20-40,,,
445,mean_compactness:q60-80  worst_radius:q80-100,38,-0.3864109426107642,-0.7835266131430271,-0.7835266131430271,,q60-80,,,,,,,,,,,,,,,q80-100,,,
446,mean_compactness:q60-80  worst_radius:q40-60,22,0.4601130131294665,0.2979890310786106,0.2979890310786106,,q60-80,,,,,,,,,,,,,,,q40-60,,,
447,mean_compactness:q60-80  worst_radius:q60-80,28,0.41972537628729867,-0.5878003696857671,-0.5878003696857671,,q60-80,,,,,,,,,,,,,,,q60-80,,,
448,mean_compactness:q40-60  worst_radius:q40-60,21,0.17596454640250261,0.38503649635036497,0.38503649635036497,,q40-60,,,,,,,,,,,,,,,q40-60,,,
449,mean_compactness:q40-60  worst_radius:q60-80,25,0.5936764705882352,-0.5294117647058824,-0.5294117647058824,,q40-60,,,,,,,,,,,,,,,q60-80,,,
450,mean_compactness:q40-60  worst_radius:q00-20,24,-0.20160550458715595,0.5019877675840979,0.5019877675840979,,q40-60,,,,,,,,,,,,,,,q00-20,,,
451,mean_compactness:q40-60  worst_radius:q20-40,26,-0.2842470604901544,0.5432780847145487,0.5432780847145487,,q40-60,,,,,,,,,,,,,,,q20-40,,,
452,mean_compactness:q00-20  worst_radius:q40-60,26,0.24946876328091797,0.47903385748689614,0.47903385748689614,,q00-20,,,,,,,,,,,,,,,q40-60,,,
453,mean_compactness:q00-20  worst_radius:q00-20,40,-0.3058128544423441,0.5950378071833649,0.5950378071833649,,q00-20,,,,,,,,,,,,,,,q00-20,,,
